ThreadsV2
ISR           PRI=255 sp=0x20010000 STACK=1240/1536
ArduCopter    PRI=182 sp=0x20010600 STACK=5272/7168
idle          PRI=  1 sp=0x20024408 STACK=288/496
UART_RX       PRI= 60 sp=0x2004EA28 STACK=864/1200
OTG1          PRI= 60 sp=0x2004E0E0 STACK=352/752
monitor       PRI=183 sp=0x20020E50 STACK=1104/1456
timer         PRI=181 sp=0x20022410 STACK=1568/1968
rcout         PRI=181 sp=0x20021A30 STACK=480/944
rcin          PRI=177 sp=0x20021440 STACK=1160/1456
io            PRI= 58 sp=0x20020460 STACK=1592/2480
storage       PRI= 59 sp=0x20021E20 STACK=920/1456
UART2         PRI= 60 sp=0x2004DD08 STACK=336/752
UART3         PRI= 60 sp=0x2004CE00 STACK=424/752
UART5         PRI= 60 sp=0x2004C6B8 STACK=352/752
UART6         PRI= 60 sp=0x2004BF70 STACK=344/752
log_io        PRI= 59 sp=0x2004A718 STACK=1624/2016
I2C0          PRI=176 sp=0x20049D90 STACK=968/1456
OSD           PRI= 59 sp=0x20045480 STACK=976/1712
led           PRI= 60 sp=0x20047438 STACK=280/688
SPI4          PRI=181 sp=0x20044C88 STACK=832/1456
FTP           PRI= 58 sp=0x20040B08 STACK=1456/2992
