timestamp_utc,elapsed_s,message,distance_m,voltage_v,quality,flow_x,flow_y,ground_distance_m
2026-08-11T13:37:30.680168+00:00,0.108,RANGEFINDER,2.200000047683716,0.0,,,,
2026-08-11T13:37:30.780376+00:00,0.208,RANGEFINDER,2.2100000381469727,0.0,,,,
2026-08-11T13:37:30.783455+00:00,0.211,DISTANCE_SENSOR,2.21,,,,,
2026-08-11T13:37:30.786534+00:00,0.214,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:30.880405+00:00,0.308,RANGEFINDER,2.1499998569488525,0.0,,,,
2026-08-11T13:37:30.883375+00:00,0.311,DISTANCE_SENSOR,2.14,,,,,
2026-08-11T13:37:30.886178+00:00,0.314,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:30.980419+00:00,0.408,RANGEFINDER,2.1399998664855957,0.0,,,,
2026-08-11T13:37:30.983379+00:00,0.411,DISTANCE_SENSOR,2.13,,,,,
2026-08-11T13:37:30.986208+00:00,0.414,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.080494+00:00,0.508,RANGEFINDER,2.180000066757202,0.0,,,,
2026-08-11T13:37:31.083434+00:00,0.511,DISTANCE_SENSOR,2.18,,,,,
2026-08-11T13:37:31.086253+00:00,0.514,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.180496+00:00,0.608,RANGEFINDER,2.2100000381469727,0.0,,,,
2026-08-11T13:37:31.183447+00:00,0.611,DISTANCE_SENSOR,2.21,,,,,
2026-08-11T13:37:31.186276+00:00,0.614,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.280549+00:00,0.708,RANGEFINDER,2.2100000381469727,0.0,,,,
2026-08-11T13:37:31.283489+00:00,0.711,DISTANCE_SENSOR,2.21,,,,,
2026-08-11T13:37:31.286287+00:00,0.714,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.380591+00:00,0.808,RANGEFINDER,2.169999837875366,0.0,,,,
2026-08-11T13:37:31.383536+00:00,0.811,DISTANCE_SENSOR,2.16,,,,,
2026-08-11T13:37:31.386371+00:00,0.814,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.480743+00:00,0.908,RANGEFINDER,2.200000047683716,0.0,,,,
2026-08-11T13:37:31.483653+00:00,0.911,DISTANCE_SENSOR,2.2,,,,,
2026-08-11T13:37:31.486791+00:00,0.914,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.580830+00:00,1.008,RANGEFINDER,2.2300000190734863,0.0,,,,
2026-08-11T13:37:31.583805+00:00,1.011,DISTANCE_SENSOR,2.23,,,,,
2026-08-11T13:37:31.586987+00:00,1.015,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.680929+00:00,1.109,RANGEFINDER,2.169999837875366,0.0,,,,
2026-08-11T13:37:31.683876+00:00,1.111,DISTANCE_SENSOR,2.16,,,,,
2026-08-11T13:37:31.686703+00:00,1.114,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.781051+00:00,1.209,RANGEFINDER,2.190000057220459,0.0,,,,
2026-08-11T13:37:31.783988+00:00,1.212,DISTANCE_SENSOR,2.19,,,,,
2026-08-11T13:37:31.787141+00:00,1.215,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.881145+00:00,1.309,RANGEFINDER,2.1599998474121094,0.0,,,,
2026-08-11T13:37:31.884090+00:00,1.312,DISTANCE_SENSOR,2.15,,,,,
2026-08-11T13:37:31.887585+00:00,1.315,OPTICAL_FLOW,,,38,0,0,0.0
2026-08-11T13:37:31.981217+00:00,1.409,RANGEFINDER,2.169999837875366,0.0,,,,
2026-08-11T13:37:31.984168+00:00,1.412,DISTANCE_SENSOR,2.16,,,,,
2026-08-11T13:37:31.986991+00:00,1.415,OPTICAL_FLOW,,,38,0,0,0.0
