7zip	25.01+dfsg-1~deb13u2
adduser	3.152
adwaita-icon-theme	48.1-1
alsa-topology-conf	1.2.5.1-3
alsa-ucm-conf	1.2.14-1
alsa-utils	1.2.14-1+rpt1
apparmor	4.1.0-1
apt	3.0.3
apt-listchanges	4.8
apt-utils	3.0.3
at-spi2-common	2.56.2-1+deb13u1
at-spi2-core	2.56.2-1+deb13u1
avahi-daemon	0.8-16
base-files	13.8+deb13u5
base-passwd	3.6.7
bash	5.2.37-2+b9
bash-completion	1:2.16.0-7
bc	1.07.1-4+b1
binfmt-support	2.2.2-7+b1
binutils	2.44-3
binutils-aarch64-linux-gnu	2.44-3
binutils-common:arm64	2.44-3
bluez	5.82-1.1+rpt1
bluez-firmware	1.2-13+rpt2
bsdextrautils	2.41-5
bsdutils	1:2.41-5
build-essential	12.12
busybox	1:1.37.0-6+b8
bzip2	1.0.8-6
ca-certificates	20250419
ca-certificates-java	20240118
cifs-utils	2:7.4-1
cloud-guest-utils	0.33-1
cloud-init	25.2-1~bpo13+1+rpt20
console-setup	1.242~deb13u1
console-setup-linux	1.242~deb13u1
coreutils	9.7-3
cpio	2.15+dfsg-2
cpp	4:14.2.0-1
cpp-14	14.2.0-19
cpp-14-aarch64-linux-gnu	14.2.0-19
cpp-14-for-host:arm64	14.2.0-19
cpp-aarch64-linux-gnu	4:14.2.0-1
cron	3.0pl1-197
cron-daemon-common	3.0pl1-197
curl	8.14.1-2+deb13u3
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
dbus-user-session	1.16.2-2
dconf-cli	0.40.0-5
dconf-gsettings-backend:arm64	0.40.0-5
dconf-service	0.40.0-5
debconf	1.5.91
debconf-i18n	1.5.91
debconf-utils	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
default-jre-headless	2:1.21-76
device-tree-compiler	1.7.2-2+b1
dhcpcd-base	1:10.1.0-11+deb13u2
diffutils	1:3.10-4
dirmngr	2.4.7-21+deb13u1+b3
distro-info-data	0.66+deb13u2
dmidecode	3.6-2
dmsetup	2:1.02.205-2
dns-root-data	2025080400~deb13u1
dnsmasq-base	2.91-1+deb13u1
dos2unix	7.5.2-1+b1
dosfstools	4.2-1.2
dpkg	1.22.22
dpkg-dev	1.22.22
dracut-install	106-6
e2fsprogs	1.47.2-3+b11
eatmydata	131-2
ed	1.21.1-1
eject	2.41-5
ethtool	1:6.14.2-1
exfatprogs	1.2.9-1+deb13u1
fakeroot	1.37.1.1-1
fastjar	2:0.98-7+b1
fbset	2.1-34
fdisk	2.41-5
file	1:5.46-5
findutils	4.10.0-3
firmware-atheros	1:20250410-2+rpt1
firmware-brcm80211	1:20250410-2+rpt1
firmware-libertas	1:20250410-2+rpt1
firmware-mediatek	1:20250410-2+rpt1
firmware-realtek	1:20250410-2+rpt1
flashrom	1.4.0-3
fontconfig	2.15.0-2.3
fontconfig-config	2.15.0-2.3
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fuse3	3.17.2-3
g++	4:14.2.0-1
g++-14	14.2.0-19
g++-14-aarch64-linux-gnu	14.2.0-19
g++-aarch64-linux-gnu	4:14.2.0-1
gcc	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-aarch64-linux-gnu	14.2.0-19
gcc-14-base:arm64	14.2.0-19
gcc-14-for-host:arm64	14.2.0-19
gcc-aarch64-linux-gnu	4:14.2.0-1
gdb	16.3-1
gdisk	1.0.10-2+b1
gettext-base	0.23.1-2
gnupg	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1
gnupg-utils	2.4.7-21+deb13u1+b3
gpg	2.4.7-21+deb13u1+b3
gpg-agent	2.4.7-21+deb13u1+b3
gpg-wks-client	2.4.7-21+deb13u1+b3
gpgconf	2.4.7-21+deb13u1+b3
gpgsm	2.4.7-21+deb13u1+b3
gpgv	2.4.7-21+deb13u1+b3
gpiod	2.2.1-2+deb13u1
grep	3.11-4+b1
groff-base	1.23.0-9
gsettings-desktop-schemas	48.0-1+rpt1
gtk-update-icon-cache	4.18.6+ds-2
gzip	1.13-1
hicolor-icon-theme	0.18-2
hostname	3.25
